assetCode,windowTimestamp,Open,High,Low,Last
Wc1,1999-10-11T02:00:00.000000000Z,254.0,254.25,253.5,254.0
Wc1,1999-10-11T03:00:00.000000000Z,254.25,254.5,254.25,254.5
Wc1,1999-10-11T04:00:00.000000000Z,254.75,254.75,254.75,254.75
Wc1,1999-10-11T05:00:00.000000000Z,255.0,255.0,255.0,255.0
Wc1,1999-10-11T07:00:00.000000000Z,254.5,254.5,254.5,254.5
Wc1,1999-10-11T09:00:00.000000000Z,255.0,255.0,255.0,255.0
Wc1,1999-10-11T14:00:00.000000000Z,253.0,254.25,250.5,252.5
Wc1,1999-10-11T15:00:00.000000000Z,252.75,253.75,252.0,252.75
Wc1,1999-10-11T16:00:00.000000000Z,252.5,253.0,251.5,251.75
Wc1,1999-10-11T17:00:00.000000000Z,252.0,254.0,251.0,253.5
Wc1,1999-10-11T18:00:00.000000000Z,253.75,255.0,253.0,253.5
Wc1,1999-10-12T02:00:00.000000000Z,254.0,254.0,254.0,254.0
Wc1,1999-10-12T04:00:00.000000000Z,254.5,254.5,254.5,254.5
Wc1,1999-10-12T07:00:00.000000000Z,254.75,254.75,254.75,254.75
Wc1,1999-10-12T08:00:00.000000000Z,255.0,255.0,255.0,255.0
Wc1,1999-10-12T14:00:00.000000000Z,255.0,258.0,254.5,257.75
Wc1,1999-10-12T15:00:00.000000000Z,258.0,259.0,257.0,258.25
Wc1,1999-10-12T16:00:00.000000000Z,258.0,258.5,256.25,257.5
Wc1,1999-10-12T17:00:00.000000000Z,257.75,258.25,257.25,258.0
Wc1,1999-10-12T18:00:00.000000000Z,257.75,259.5,257.5,257.5
Wc1,1999-10-13T02:00:00.000000000Z,257.5,258.25,257.5,258.25
Wc1,1999-10-13T03:00:00.000000000Z,257.75,258.0,257.75,258.0
Wc1,1999-10-13T04:00:00.000000000Z,257.75,257.75,257.75,257.75
Wc1,1999-10-13T07:00:00.000000000Z,258.0,258.0,258.0,258.0
Wc1,1999-10-13T08:00:00.000000000Z,257.75,257.75,257.75,257.75
Wc1,1999-10-13T09:00:00.000000000Z,258.0,258.5,258.0,258.5
Wc1,1999-10-13T14:00:00.000000000Z,257.0,259.0,254.5,258.0
Wc1,1999-10-13T15:00:00.000000000Z,258.25,258.75,256.0,257.25
Wc1,1999-10-13T16:00:00.000000000Z,257.5,257.5,255.25,256.5
Wc1,1999-10-13T17:00:00.000000000Z,256.25,256.75,255.5,256.0
Wc1,1999-10-13T18:00:00.000000000Z,255.75,256.0,255.0,255.5
Wc1,1999-10-14T02:00:00.000000000Z,255.25,255.25,254.5,255.25
Wc1,1999-10-14T03:00:00.000000000Z,255.0,255.0,255.0,255.0
Wc1,1999-10-14T04:00:00.000000000Z,254.75,254.75,254.5,254.5
Wc1,1999-10-14T05:00:00.000000000Z,255.0,255.0,255.0,255.0
Wc1,1999-10-14T07:00:00.000000000Z,255.25,255.25,255.25,255.25
Wc1,1999-10-14T08:00:00.000000000Z,255.5,255.5,255.0,255.0
Wc1,1999-10-14T14:00:00.000000000Z,254.5,257.25,253.75,256.25
Wc1,1999-10-14T15:00:00.000000000Z,256.5,256.5,254.5,255.25
Wc1,1999-10-14T16:00:00.000000000Z,255.0,255.75,254.75,255.25
Wc1,1999-10-14T17:00:00.000000000Z,255.5,256.0,254.75,255.5
Wc1,1999-10-14T18:00:00.000000000Z,255.25,256.0,255.25,255.5
Wc1,1999-10-15T02:00:00.000000000Z,255.0,255.5,255.0,255.5
Wc1,1999-10-15T03:00:00.000000000Z,255.75,256.0,255.5,255.75
Wc1,1999-10-15T04:00:00.000000000Z,256.0,256.0,255.5,256.0
Wc1,1999-10-15T05:00:00.000000000Z,255.75,255.75,255.75,255.75
Wc1,1999-10-15T06:00:00.000000000Z,256.0,256.0,256.0,256.0
Wc1,1999-10-15T09:00:00.000000000Z,256.25,256.25,256.25,256.25
Wc1,1999-10-15T14:00:00.000000000Z,256.5,256.5,254.0,254.25
Wc1,1999-10-15T15:00:00.000000000Z,254.5,255.75,253.25,255.25
Wc1,1999-10-15T16:00:00.000000000Z,255.5,257.0,255.0,257.0
Wc1,1999-10-15T17:00:00.000000000Z,257.25,258.5,255.0,256.25
Wc1,1999-10-15T18:00:00.000000000Z,256.5,257.5,255.5,256.5
Wc1,1999-10-18T02:00:00.000000000Z,256.25,257.75,256.0,257.75
Wc1,1999-10-18T03:00:00.000000000Z,257.5,257.75,255.0,255.0
Wc1,1999-10-18T04:00:00.000000000Z,257.0,257.0,257.0,257.0
Wc1,1999-10-18T08:00:00.000000000Z,257.25,257.25,257.25,257.25
Wc1,1999-10-18T09:00:00.000000000Z,257.0,257.0,257.0,257.0
Wc1,1999-10-18T14:00:00.000000000Z,255.0,260.0,254.75,258.5
Wc1,1999-10-18T15:00:00.000000000Z,258.25,261.5,257.75,260.0
Wc1,1999-10-18T16:00:00.000000000Z,260.25,261.0,259.75,261.0
Wc1,1999-10-18T17:00:00.000000000Z,261.25,262.0,260.5,260.75
Wc1,1999-10-18T18:00:00.000000000Z,260.5,261.25,260.25,260.25
Wc1,1999-10-19T02:00:00.000000000Z,260.5,261.25,260.25,260.75
